entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_NB,PTPD_Puestos_M
San Luis Potosí,subdel,Entre 25 y 30 años,202510,5727,5131,596,0,418,398,0,20
San Luis Potosí,subdel,Entre 30 y 35 años,202510,5701,5082,619,0,569,534,0,35
San Luis Potosí,subdel,Entre 35 y 40 años,202510,4062,3584,478,0,492,455,0,37
San Luis Potosí,subdel,Entre 40 y 45 años,202510,2682,2392,290,0,413,387,0,26
San Luis Potosí,subdel,Entre 45 y 50 años,202510,1828,1587,241,0,314,294,0,20
San Luis Potosí,subdel,Entre 50 y 55 años,202510,1241,1102,139,0,254,238,0,16
San Luis Potosí,subdel,Entre 55 y 60 años,202510,741,675,66,0,169,162,0,7
San Luis Potosí,subdel,Entre 60 y 65 años,202510,427,402,25,0,82,81,0,1
San Luis Potosí,subdel,Entre 65 y 70 años,202510,141,134,7,0,33,31,0,2
San Luis Potosí,subdel,Entre 70 y 75 años,202510,46,43,3,0,7,7,0,0
Sinaloa,subdel,75 años y más,202510,1220,1143,77,0,32,32,0,0
Sinaloa,subdel,Entre 15 y 20 años,202510,930,868,62,0,24,23,0,1
